,cord,val
0,39,31.5290841861647
1,45,32.87410475283253
2,46,33.373499033402425
3,47,33.92209380013602
4,48,34.45317077636719
5,49,34.94592409717793
6,50,35.344283279107536
7,51,35.60094739952866
8,52,35.60912832921865
9,56,34.043037998433014
10,57,33.68969095969687
11,58,33.511353823603415
12,59,33.634796453981984
13,63,35.748346601213726
14,64,36.425984791346956
15,65,37.05420474616848
16,66,37.50113164162149
17,67,37.86172796755421
18,68,38.13330662007235
19,69,38.28905362499004
20,70,38.284510086993784
21,80,39.38247096781828
22,81,39.547546620271646
23,82,39.61848893457529
24,91,38.26735710611149
25,92,37.94382515732123
26,93,37.6510926849988
27,94,37.31301864312619
28,95,36.93637552066725
29,96,36.627129768838685
30,97,36.421555188237406
31,98,36.29410545193419
32,109,37.573197812450175
33,110,37.98984216184032
34,111,38.419844568992154
35,112,38.78524998256138
36,113,38.98756829086615
37,114,39.067876543317524
38,120,37.90727358448262
39,121,37.678726819096774
40,122,37.4708907458247
41,123,37.21014069537728
42,124,36.94721175213249
43,125,36.75589144959742
44,126,36.570120597372245
45,142,34.35588042590083
46,143,33.94097332078584
47,144,33.63562182990872
48,145,33.45130025124063
49,146,33.29762618395747
50,152,34.57850148726482
51,153,34.96876712721221
52,154,35.34992210232481
53,155,35.62461424847039
54,156,35.746989970304526
55,157,35.69019512254365
56,161,34.445504324776785
57,162,34.20112220608458
58,163,34.09651620047433
59,164,34.04015132359096
60,169,32.79798106757962
61,170,32.25519429420938
62,171,31.789506211572764
63,172,31.486744783362564
64,173,31.30208782273896
65,174,31.282985648330374
